SVSPP,Common.Name,Scientific.Name,SEASON,CATCHSEX,lna,b,wigleyvalue,wigleymin,wigleymax
4,ROUGHTAIL STINGRAY,DASYATIS CENTROURA,SPRING,0,-10.332,3.0222,f,36,155
4,ROUGHTAIL STINGRAY,DASYATIS CENTROURA,FALL,0,-10.332,3.0222,t,36,155
9,SANDBAR SHARK,CARCHARHINUS PLUMBEUS,SPRING,0,-12.674,3.1706,t,63,174
9,SANDBAR SHARK,CARCHARHINUS PLUMBEUS,FALL,0,-12.674,3.1706,t,63,174
9,SANDBAR SHARK,CARCHARHINUS PLUMBEUS,SPRING,1,-12.674,3.1706,f,63,174
9,SANDBAR SHARK,CARCHARHINUS PLUMBEUS,FALL,1,-12.674,3.1706,f,63,174
12,SAND TIGER,CARCHARIAS TAURUS,SPRING,0,-13.4887,3.2927,f,150,260
12,SAND TIGER,CARCHARIAS TAURUS,FALL,0,-13.4887,3.2927,t,150,260
13,Smooth dogfish,Mustelus canis,SPRING,0,-13.3913,3.1641,t,52,126
13,Smooth dogfish,Mustelus canis,FALL,0,-12.5532,3.0006,t,40,135
13,Smooth dogfish,Mustelus canis,SPRING,1,-13.1021,3.0918,t,52,115
13,Smooth dogfish,Mustelus canis,FALL,1,-12.3265,2.9436,t,40,112
13,Smooth dogfish,Mustelus canis,SPRING,2,-13.7926,3.2652,t,54,126
13,Smooth dogfish,Mustelus canis,FALL,2,-12.7087,3.0415,t,44,135
14,Chain dogfish,Scyliorhinus retifer,SPRING,0,-12.9053,3.1282,f,10,45
14,Chain dogfish,Scyliorhinus retifer,FALL,0,-12.9053,3.1282,t,10,45
14,Chain dogfish,Scyliorhinus retifer,SPRING,1,-12.2155,2.9322,f,18,45
14,Chain dogfish,Scyliorhinus retifer,FALL,1,-12.2155,2.9322,t,18,45
14,Chain dogfish,Scyliorhinus retifer,SPRING,2,-13.5677,3.3321,f,10,43
14,Chain dogfish,Scyliorhinus retifer,FALL,2,-13.5677,3.3321,t,10,43
15,Spiny dogfish,Squalus acanthias,SPRING,0,-13.2302,3.1863,t,13,114
15,Spiny dogfish,Squalus acanthias,FALL,0,-12.6733,3.0596,t,22,106
15,Spiny dogfish,Squalus acanthias,SPRING,1,-12.5455,3.0075,t,20,91
15,Spiny dogfish,Squalus acanthias,FALL,1,-12.3144,2.9651,t,23,90
15,Spiny dogfish,Squalus acanthias,SPRING,2,-13.4073,3.2369,t,13,114
15,Spiny dogfish,Squalus acanthias,FALL,2,-12.821,3.1012,t,22,106
16,ATLANTIC ANGEL SHARK,SQUATINA DUMERIL,SPRING,0,-11.5279,2.9556,t,32,84
16,ATLANTIC ANGEL SHARK,SQUATINA DUMERIL,FALL,0,-12.1783,3.142,t,35,120
18,BLUNTNOSE STINGRAY,DASYATIS SAY,SPRING,0,-10.5372,3.0527,t,39,103
18,BLUNTNOSE STINGRAY,DASYATIS SAY,FALL,0,-10.8751,3.2275,t,18,104
19,BULLNOSE RAY,MYLIOBATIS FREMINVILLEI,SPRING,0,-12.1806,3.2885,f,28,129
19,BULLNOSE RAY,MYLIOBATIS FREMINVILLEI,FALL,0,-12.1806,3.2885,t,28,129
21,Atlantic torpedo,Torpedo nobiliana,SPRING,0,-14.4803,3.8164,f,71,102
21,Atlantic torpedo,Torpedo nobiliana,FALL,0,-14.4803,3.8164,t,71,102
21,Atlantic torpedo,Torpedo nobiliana,SPRING,1,-14.4803,3.8164,f,71,102
21,Atlantic torpedo,Torpedo nobiliana,FALL,1,-14.4803,3.8164,f,71,102
22,Barndoor skate,Dipturus laevis,SPRING,0,-13.3224,3.2919,f,23,121
22,Barndoor skate,Dipturus laevis,FALL,0,-13.3224,3.2919,t,23,121
23,Winter skate,Leucoraja ocellata,SPRING,0,-13.0088,3.2993,t,13,16
23,Winter skate,Leucoraja ocellata,FALL,0,-13.1531,3.3199,t,14,111
23,Winter skate,Leucoraja ocellata,SPRING,1,-12.9598,3.2819,t,16,106
23,Winter skate,Leucoraja ocellata,FALL,1,-13.0591,3.2904,t,14,111
23,Winter skate,Leucoraja ocellata,SPRING,2,-13.1083,3.3285,t,13,98
23,Winter skate,Leucoraja ocellata,FALL,2,-13.3419,3.3719,t,16,100
24,Clearnose skate,Raja eglanteria,SPRING,0,-13.8683,3.4235,t,22,71
24,Clearnose skate,Raja eglanteria,FALL,0,-13.8683,3.4235,t,22,71
24,Clearnose skate,Raja eglanteria,SPRING,1,-14.1912,3.4918,t,37,68
24,Clearnose skate,Raja eglanteria,FALL,1,-14.1912,3.4918,t,37,68
24,Clearnose skate,Raja eglanteria,SPRING,2,-13.86,3.4291,t,22,71
24,Clearnose skate,Raja eglanteria,FALL,2,-13.86,3.4291,t,22,71
25,Rosette skate,Leucoraja garmani,SPRING,0,-13.673400000000001,3.3526,t,32,43
25,Rosette skate,Leucoraja garmani,FALL,0,-12.5504,3.0718,t,14,42
25,Rosette skate,Leucoraja garmani,FALL,1,-12.4771,3.0307,t,14,42
25,Rosette skate,Leucoraja garmani,FALL,2,-12.4737,3.0688,t,15,42
26,Little skate,Leucoraja erinacea,SPRING,0,-12.4462,3.128,t,8,59
26,Little skate,Leucoraja erinacea,FALL,0,-12.602,3.1567,t,6,63
26,Little skate,Leucoraja erinacea,SPRING,1,-12.3175,3.0842,t,9,57
26,Little skate,Leucoraja erinacea,FALL,1,-12.5172,3.1247,t,10,63
26,Little skate,Leucoraja erinacea,SPRING,2,-12.6115,3.1805,t,8,59
26,Little skate,Leucoraja erinacea,FALL,2,-12.6889,3.1872,t,6,60
27,Smooth skate,Malacoraja senta,SPRING,0,-12.5408,3.0655,t,18,65
27,Smooth skate,Malacoraja senta,FALL,0,-13.0139,3.1812,t,15,62
28,Thorny skate,Amblyraja radiata,SPRING,0,-12.088,3.1197,t,10,105
28,Thorny skate,Amblyraja radiata,FALL,0,-12.088,3.1197,t,10,105
29,SOUTHERN STINGRAY,DASYATIS AMERICANA,SPRING,0,-10.9402,3.1428,t,45,100
29,SOUTHERN STINGRAY,DASYATIS AMERICANA,FALL,0,-10.9402,3.1428,t,45,100
31,Round herring,Etrumeus teres,SPRING,0,-11.4756,2.9645,f,11,20
31,Round herring,Etrumeus teres,FALL,0,-11.4756,2.9645,t,11,20
32,Atlantic herring,Clupea harengus,SPRING,0,-11.7972,3.0314,t,5,37
32,Atlantic herring,Clupea harengus,FALL,0,-11.576,2.9794,t,4,34
32,Atlantic herring,Clupea harengus,SPRING,1,-11.5442,2.9545,t,10,37
32,Atlantic herring,Clupea harengus,FALL,1,-11.346,2.9055,t,10,34
32,Atlantic herring,Clupea harengus,SPRING,2,-11.56,2.957,t,10,34
32,Atlantic herring,Clupea harengus,FALL,2,-11.6549,3.0065,t,11,34
33,Alewife,Alosa pseudoharengus,SPRING,0,-13.3875,3.6716,t,10,27
33,Alewife,Alosa pseudoharengus,FALL,0,-13.3875,3.6716,t,10,27
34,Blueback herring,Alosa aestivalis,SPRING,0,-12.2146,3.2428,t,7,29
34,Blueback herring,Alosa aestivalis,FALL,0,-12.2146,3.2428,t,7,29
35,American shad,Alosa sapidissima,SPRING,0,-12.1377,3.2207,t,8,53
35,American shad,Alosa sapidissima,FALL,0,-12.1377,3.2207,t,8,53
69,Offshore hake,Merluccius albidus,SPRING,0,-12.2964,3.1323,t,8,51
69,Offshore hake,Merluccius albidus,FALL,0,-12.2964,3.1323,t,8,51
72,Silver hake,Merluccius bilinearis,SPRING,0,-12.4934,3.1512,t,4,58
72,Silver hake,Merluccius bilinearis,FALL,0,-12.1353,3.0606,t,3,63
72,Silver hake,Merluccius bilinearis,FALL,1,-12.2351,3.0869,t,7,41
72,Silver hake,Merluccius bilinearis,FALL,2,-12.6439,3.2186,t,7,63
73,Atlantic cod,Gadus morhua,SPRING,0,-11.7803,3.0606,t,4,141
73,Atlantic cod,Gadus morhua,FALL,0,-11.992,3.1262,t,4,120
74,Haddock,Melanogrammus aeglefinus,SPRING,0,-11.8062,3.0766,t,4,87
74,Haddock,Melanogrammus aeglefinus,SPRING,1,-11.7438,3.0572,t,13,77
74,Haddock,Melanogrammus aeglefinus,SPRING,2,-11.8655,3.0949,t,13,87
74,Haddock,Melanogrammus aeglefinus,FALL,0,-11.8111,3.0888,t,7,88
75,Pollock,Pollachius virens,SPRING,0,-11.9004,3.1024,t,13,105
75,Pollock,Pollachius virens,FALL,0,-11.8353,3.1151,t,13,112
76,White hake,Urophycis tenuis,SPRING,0,-12.95,3.2903,t,10,105
76,White hake,Urophycis tenuis,FALL,0,-12.4,3.1715,t,4,126
76,White hake,Urophycis tenuis,SPRING,1,-12.9063,3.2812,t,14,105
76,White hake,Urophycis tenuis,FALL,1,-12.6846,3.2506,t,7,95
76,White hake,Urophycis tenuis,SPRING,2,-13.0099,3.3039,t,12,104
76,White hake,Urophycis tenuis,FALL,2,-12.6741,3.2407,t,7,126
77,Red hake,Urophycis chuss,SPRING,0,-12.3743,3.0979,t,3,58
77,Red hake,Urophycis chuss,FALL,0,-12.0276,3.0162,t,2,68
77,Red hake,Urophycis chuss,SPRING,1,-12.4431,3.1139,t,6,52
77,Red hake,Urophycis chuss,FALL,1,-12.172,3.0491,t,8,68
77,Red hake,Urophycis chuss,SPRING,2,-12.6066,3.1684,t,6,58
77,Red hake,Urophycis chuss,FALL,2,-12.4836,3.1533,t,7,62
