SVSPP,COMNAME,SCINAME, 
000,UNCLASSIFIED FISH,UNIDENTIFIED FISH, 
001,ATLANTIC HAGFISH,MYXINE GLUTINOSA, 
002,SEA LAMPREY,PETROMYZON MARINUS, 
003,DUSKY SHARK,CARCHARHINUS OBSCURUS, 
004,ROUGHTAIL STINGRAY,DASYATIS CENTROURA, 
005,RAY AND SKATE UNCL,RAJIFORMES, 
006,BASKING SHARK,CETORHINUS MAXIMUS, 
007,BLACK DOGFISH,CENTROSCYLLIUM FABRICII, 
008,ROUGH SAGRE,ETMOPTERUS PRINCEPS, 
009,SANDBAR SHARK,CARCHARHINUS PLUMBEUS, 
011,SHARK UNCL,SELACHIMORPHA, 
012,SAND TIGER,CARCHARIAS TAURUS, 
013,SMOOTH DOGFISH,MUSTELUS CANIS, 
014,CHAIN DOGFISH,SCYLIORHINUS RETIFER, 
015,SPINY DOGFISH,SQUALUS ACANTHIAS, 
016,ATLANTIC ANGEL SHARK,SQUATINA DUMERIL, 
017,BLUE SHARK,PRIONACE GLAUCA, 
018,BLUNTNOSE STINGRAY,DASYATIS SAY, 
019,BULLNOSE RAY,MYLIOBATIS FREMINVILLEI, 
020,SKATE UNCL,RAJA SP, 
021,ATLANTIC TORPEDO,TORPEDO NOBILIANA, 
022,BARNDOOR SKATE,DIPTURUS LAEVIS, 
023,WINTER SKATE,LEUCORAJA OCELLATA, 
024,CLEARNOSE SKATE,RAJA EGLANTERIA, 
025,ROSETTE SKATE,LEUCORAJA GARMANI, 
026,LITTLE SKATE,LEUCORAJA ERINACEA, 
027,SMOOTH SKATE,MALACORAJA SENTA, 
028,THORNY SKATE,AMBLYRAJA RADIATA, 
029,SOUTHERN STINGRAY,DASYATIS AMERICANA, 
030,HERRING UNCL,CLUPEIDAE, 
031,ROUND HERRING,ETRUMEUS TERES, 
032,ATLANTIC HERRING,CLUPEA HARENGUS, 
033,ALEWIFE,ALOSA PSEUDOHARENGUS, 
034,BLUEBACK HERRING,ALOSA AESTIVALIS, 
035,AMERICAN SHAD,ALOSA SAPIDISSIMA, 
036,ATLANTIC MENHADEN,BREVOORTIA TYRANNUS, 
037,HICKORY SHAD,ALOSA MEDIOCRIS, 
038,CAPELIN,MALLOTUS VILLOSUS, 
039,SLICKHEAD UNCL,ALEPOCEPHALIIDAE, 
043,BAY ANCHOVY,ANCHOA MITCHILLI, 
044,STRIPED ANCHOVY,ANCHOA HEPSETUS, 
045,RAINBOW SMELT,OSMERUS MORDAX, 
046,ATLANTIC ARGENTINE,ARGENTINA SILUS, 
047,GREENEYE UNCL,CHLOROPHTHALMIDAE, 
051,GLACIER LANTERNFISH,BENTHOSEMA GLACIALE, 
